id,site,date,lat,long,sex,h
1,Hongdo,301,34.683,125.191,M,-100.55
1,Hongdo,301,34.683,125.191,M,-105.8
2,Hongdo,302,34.683,125.191,F,-91.95
3,Hongdo,303,34.683,125.191,M,-104.8
4,Hongdo,304,34.683,125.191,F,-98.7
4,Hongdo,304,34.683,125.191,F,-97.4
5,Hongdo,304,34.683,125.191,F,-105.44
6,Hongdo,304,34.683,125.191,M,-93.07
7,Hongdo,305,34.683,125.191,F,-105.45
8,Hongdo,305,34.683,125.191,F,-99.42
8,Hongdo,305,34.683,125.191,F,-100.71
9,Hongdo,305,34.683,125.191,F,-116.85
10,Hongdo,305,34.683,125.191,M,-91.65
11,Hongdo,306,34.683,125.191,F,-94.46
12,Hongdo,306,34.683,125.191,M,-103.47
13,Hongdo,306,34.683,125.191,M,-96.19
14,Hongdo,306,34.683,125.191,F,-115.26
14,Hongdo,306,34.683,125.191,F,-113.3
15,Heuksando,306,34.689,125.425,F,-106.95
16,Hongdo,307,34.683,125.191,M,-90.1
17,Heuksando,307,34.689,125.425,F,-101.43
18,Hongdo,307,34.683,125.191,F,-103.49
18,Hongdo,307,34.683,125.191,F,-102.81
19,Hongdo,307,34.683,125.191,F,-103.15
20,Hongdo,308,34.683,125.191,M,-97.96
21,Hongdo,308,34.683,125.191,F,-96.7
22,Hongdo,308,34.683,125.191,F,-111.15
23,Heuksando,309,34.689,125.425,F,-106.69
24,Heuksando,309,34.689,125.425,F,-103.97
24,Heuksando,309,34.689,125.425,F,-105.77
25,Heuksando,310,34.689,125.425,M,-100.99
26,Heuksando,310,34.689,125.425,F,-95.79
27,Heuksando,310,34.689,125.425,M,-96.45
28,Heuksando,311,34.689,125.425,F,-105.31
28,Heuksando,311,34.689,125.425,F,-108.44
29,Heuksando,311,34.689,125.425,M,-101.07
30,Heuksando,314,34.689,125.425,M,-93.77
31,Heuksando,314,34.689,125.425,F,-110.41
32,Hongdo,314,34.683,125.191,M,-106
33,Hongdo,314,34.683,125.191,F,-109.27
34,Heuksando,317,34.689,125.425,F,-98.93
34,Heuksando,317,34.689,125.425,F,-100.11
35,Heuksando,318,34.689,125.425,F,-91.79
36,Heuksando,318,34.689,125.425,F,-87.21
37,Heuksando,318,34.689,125.425,M,-104.39
38,Heuksando,321,34.689,125.425,F,-90.66
39,Heuksando,321,34.689,125.425,F,-95.42
40,Heuksando,321,34.689,125.425,M,-99.11
41,Heuksando,321,34.689,125.425,M,-81.68
