id,site,date,lat,long,sex,o
1,Hongdo,301,34.683,125.191,M,11.14
1,Hongdo,301,34.683,125.191,M,11.32
2,Hongdo,302,34.683,125.191,F,13.75
3,Hongdo,303,34.683,125.191,M,11.71
4,Hongdo,304,34.683,125.191,F,13.04
5,Hongdo,304,34.683,125.191,F,13.14
6,Hongdo,304,34.683,125.191,M,13.92
7,Hongdo,305,34.683,125.191,F,11.57
8,Hongdo,305,34.683,125.191,F,11.17
8,Hongdo,305,34.683,125.191,F,10.89
9,Hongdo,305,34.683,125.191,F,10.91
10,Hongdo,305,34.683,125.191,M,14.72
11,Hongdo,306,34.683,125.191,F,13.3
12,Hongdo,306,34.683,125.191,M,12.73
13,Hongdo,306,34.683,125.191,M,17.3
14,Hongdo,306,34.683,125.191,F,9.99
15,Heuksando,306,34.689,125.425,F,10.33
16,Hongdo,307,34.683,125.191,M,12.53
17,Heuksando,307,34.689,125.425,F,12.26
18,Hongdo,307,34.683,125.191,F,11.38
19,Hongdo,307,34.683,125.191,F,11.44
20,Hongdo,308,34.683,125.191,M,10.71
21,Hongdo,308,34.683,125.191,F,14.65
22,Hongdo,308,34.683,125.191,F,10.51
23,Heuksando,309,34.689,125.425,F,13.42
24,Heuksando,309,34.689,125.425,F,12.67
25,Heuksando,310,34.689,125.425,M,12.44
26,Heuksando,310,34.689,125.425,F,14.41
27,Heuksando,310,34.689,125.425,M,12.28
28,Heuksando,311,34.689,125.425,F,13.65
29,Heuksando,311,34.689,125.425,M,16.48
30,Heuksando,314,34.689,125.425,M,13.06
31,Heuksando,314,34.689,125.425,F,11.98
32,Hongdo,314,34.683,125.191,M,11.45
33,Hongdo,314,34.683,125.191,F,11.88
34,Heuksando,317,34.689,125.425,F,15.07
35,Heuksando,318,34.689,125.425,F,15.53
36,Heuksando,318,34.689,125.425,F,15.03
37,Heuksando,318,34.689,125.425,M,13.89
38,Heuksando,321,34.689,125.425,F,14.64
39,Heuksando,321,34.689,125.425,F,14.78
40,Heuksando,321,34.689,125.425,M,15.93
41,Heuksando,321,34.689,125.425,M,14.57
